project,id,mutant-id,line_in_buggy,line_in_patched,structural_score,conceptual_score,sum,correct
JacksonXml,5,mutant-2,56,56,0.6,0.7,1.3,False
JacksonXml,5,mutant-5,51,51,0.692,0.812,1.504,False
JacksonXml,5,mutant-6,49,49,0.647,0.792,1.439,False
JacksonXml,5,mutant-4,56,56,0.6,0.7,1.3,False
JacksonXml,5,mutant-7,56,56,0.412,0.556,0.968,False
Codec,15,mutant-2,189,189,1.0,1.0,2.0,False
Codec,15,mutant-1,189,189,0.882,0.93,1.812,False
Codec,15,mutant-5,192,192,1.0,0.912,1.912,False
Codec,15,mutant-6,192,192,0.889,0.938,1.827,False
Codec,15,mutant-4,189,189,1.0,0.955,1.955,False
Codec,15,mutant-3,192,192,1.0,1.0,2.0,False
Codec,15,mutant-7,192,192,1.0,0.912,1.912,False
Codec,16,mutant-9,285,285,1.0,0.923,1.923,False
Codec,16,mutant-2,537,537,0.35,0.84,1.19,False
Codec,16,mutant-1,537,537,0.36,0.455,0.815,False
Codec,16,mutant-5,537,537,0.36,0.455,0.815,False
Codec,16,mutant-8,308,308,0.625,0.786,1.411,False
Codec,16,mutant-6,537,537,0.35,0.833,1.183,False
Codec,16,mutant-4,537,537,0.318,0.8,1.118,False
Codec,16,mutant-3,308,308,0.682,0.962,1.644,False
Codec,16,mutant-11,537,537,0.36,0.455,0.815,False
Codec,16,mutant-10,285,285,1.0,0.923,1.923,False
Codec,16,mutant-7,285,285,1.0,0.923,1.923,False
Codec,7,mutant-1,670,670,0.52,0.759,1.279,True
Codec,8,mutant-9,169,169,1.0,0.964,1.964,False
Codec,8,mutant-2,169,169,1.0,0.806,1.806,False
Codec,8,mutant-1,169,169,1.0,0.833,1.833,False
Codec,8,mutant-5,169,169,1.0,1.0,2.0,False
Codec,8,mutant-8,169,169,1.0,0.929,1.929,False
Codec,8,mutant-6,169,169,0.756,0.821,1.577,True
Codec,8,mutant-4,169,169,1.0,0.929,1.929,False
Codec,8,mutant-13,169,169,0.756,0.821,1.577,True
Codec,8,mutant-3,170,170,0.946,0.9,1.846,False
Codec,8,mutant-11,170,170,0.75,0.677,1.427,True
Codec,8,mutant-10,170,170,0.946,0.933,1.879,False
Codec,8,mutant-7,170,170,0.946,0.933,1.879,False
Codec,8,mutant-12,420,420,1.0,1.0,2.0,False
Codec,8,mutant-14,421,421,0.92,0.906,1.826,False
Codec,9,mutant-2,976,976,0.895,0.952,1.847,False
Codec,9,mutant-1,979,979,0.667,0.81,1.477,False
Codec,9,mutant-5,981,981,0.667,1.0,1.667,False
Codec,9,mutant-8,971,971,0.091,0.375,0.466,False
Codec,9,mutant-6,975,975,1.0,1.0,2.0,False
Codec,9,mutant-4,976,976,1.0,0.905,1.905,False
Codec,9,mutant-3,982,982,0.8,0.929,1.729,False
Codec,9,mutant-7,982,982,1.0,1.0,2.0,False
Gson,5,mutant-9,230,230,1.0,0.889,1.889,False
Gson,5,mutant-2,230,230,0.6,0.778,1.378,False
Gson,5,mutant-1,237,237,1.0,0.897,1.897,False
Gson,5,mutant-5,102,102,0.621,0.655,1.276,False
Gson,5,mutant-8,230,230,1.0,0.833,1.833,False
Gson,5,mutant-6,105,105,0.634,0.718,1.352,False
Gson,5,mutant-4,237,237,1.0,0.931,1.931,False
Gson,5,mutant-3,237,237,0.704,0.862,1.566,False
Gson,5,mutant-10,237,237,0.821,1.0,1.821,False
Gson,5,mutant-7,236,236,1.0,0.933,1.933,False
Gson,18,mutant-1,299,299,0.718,0.837,1.555,False
Gson,16,mutant-9,575,575,0.4,0.421,0.821,False
Gson,16,mutant-2,391,391,0.85,0.872,1.722,False
Gson,16,mutant-1,392,392,1.0,0.952,1.952,False
Gson,16,mutant-5,555,555,0.76,0.833,1.593,False
Gson,16,mutant-8,559,559,0.765,0.882,1.647,False
Gson,16,mutant-6,559,559,0.677,0.844,1.521,False
Gson,16,mutant-4,392,392,1.0,0.952,1.952,False
Gson,16,mutant-3,392,392,0.553,0.805,1.358,False
Gson,16,mutant-11,559,559,0.727,0.912,1.639,False
Gson,16,mutant-10,391,391,1.0,0.915,1.915,False
Gson,16,mutant-7,575,575,0.278,0.696,0.974,False
Gson,6,mutant-2,67,67,0.538,0.647,1.185,True
Gson,6,mutant-1,67,67,0.444,0.688,1.132,True
Csv,11,mutant-9,828,828,0.688,0.93,1.618,False
Csv,11,mutant-15,384,384,0.397,0.413,0.81,False
Csv,11,mutant-2,877,877,0.742,0.975,1.717,False
Csv,11,mutant-1,877,877,0.742,0.975,1.717,False
Csv,11,mutant-5,828,828,1.0,0.907,1.907,False
Csv,11,mutant-8,877,877,0.742,0.975,1.717,False
Csv,11,mutant-6,384,384,0.397,0.375,0.772,True
Csv,11,mutant-4,877,877,0.742,0.975,1.717,False
Csv,11,mutant-13,828,828,0.742,0.976,1.718,False
Csv,11,mutant-3,828,828,0.688,0.867,1.555,False
Csv,11,mutant-11,828,828,0.742,0.976,1.718,False
Csv,11,mutant-10,828,828,0.742,0.976,1.718,False
Csv,11,mutant-7,828,828,0.742,0.976,1.718,False
Csv,11,mutant-12,828,828,0.742,0.976,1.718,False
Csv,11,mutant-16,384,384,0.397,0.381,0.778,False
Csv,11,mutant-14,877,877,0.742,0.975,1.717,False
Csv,5,mutant-9,382,382,0.73,0.938,1.668,False
Csv,5,mutant-15,753,753,0.75,0.971,1.721,False
Csv,5,mutant-2,881,881,0.697,0.878,1.575,False
Csv,5,mutant-1,382,382,0.73,0.938,1.668,False
Csv,5,mutant-5,881,881,0.75,0.974,1.724,False
Csv,5,mutant-8,753,753,0.75,0.971,1.721,False
Csv,5,mutant-6,753,753,1.0,1.0,2.0,False
Csv,5,mutant-4,881,881,0.75,0.974,1.724,False
Csv,5,mutant-13,753,753,0.75,0.971,1.721,False
Csv,5,mutant-3,753,753,0.75,0.971,1.721,False
Csv,5,mutant-11,881,881,0.75,0.974,1.724,False
Csv,5,mutant-10,881,881,0.75,0.974,1.724,False
Csv,5,mutant-7,753,753,0.75,0.971,1.721,False
Csv,5,mutant-12,382,382,0.73,0.938,1.668,False
Csv,5,mutant-14,881,881,0.75,0.974,1.724,False
Csv,15,mutant-9,1189,1189,0.205,0.463,0.668,False
Csv,15,mutant-2,1189,1189,0.205,0.463,0.668,False
Csv,15,mutant-1,1189,1189,0.205,0.5,0.705,False
Csv,15,mutant-5,1189,1189,0.333,0.424,0.757,True
Csv,15,mutant-8,1189,1189,0.246,0.5,0.746,False
Csv,15,mutant-6,1099,1099,0.795,0.833,1.628,False
Csv,15,mutant-4,1189,1189,0.208,0.568,0.776,False
Csv,15,mutant-13,1189,1189,0.246,0.553,0.799,False
Csv,15,mutant-3,1189,1189,0.205,0.463,0.668,False
Csv,15,mutant-11,1189,1189,0.239,0.553,0.792,False
