project,id,mutant,toolASTDifferencing,toolCosine,toolStringDistance,toolVariable,toolSyntax,toolSemantic,s3tool,capgentool,correct
Math,28,mutant-8,7.0,0.06388888274681437,5.0,0.45454545454545453,0.5919540229885057,0.5653846153846154,12.063888882746815,0.15212804436942368,FALSE
Math,28,mutant-9,53.0,0.0,0.0,1.0,0.09724770642201835,0.0,53.0,0.0,FALSE
Math,29,mutant-1,5.0,0.5381197846482995,2.0,0.0,0.29411764705882354,0.06896551724137931,7.538119784648299,0.0,FALSE
Math,29,mutant-2,1.0,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,2.0,0.2222222222222222,FALSE
Math,29,mutant-3,4.0,0.4,2.0,0.0,0.6078431372549019,0.25806451612903225,6.4,0.0,FALSE
Math,32,mutant-1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,32,mutant-3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,32,mutant-5,1.0,0.0,1.0,0.7777777777777778,1.0,1.0,2.0,0.7777777777777778,FALSE
Math,32,mutant-6,3.0,0.0,0.0,1.0,0.8898305084745762,1.0,3.0,0.8898305084745762,FALSE
Math,32,mutant-7,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,32,mutant-8,4.0,0.005422698448068308,0.0,1.0,1.0,0.9285714285714286,4.0054226984480685,0.9285714285714286,FALSE
Math,33,mutant-2,14.0,0.1350771114986984,7.0,0.3333333333333333,1.0,0.3598130841121495,21.1350771114987,0.11993769470404983,TRUE
Math,34,mutant-1,3.0,0.01753338900946355,1.0,0.3333333333333333,0.75,0.0,4.017533389009463,0.0,TRUE
Math,40,mutant-1,5.0,0.08330150297178862,1.0,0.6666666666666666,0.36585365853658536,0.0576,6.083301502971788,0.014048780487804877,FALSE
Math,40,mutant-3,1.0,0.0,1.0,0.6,1.0,0.96875,2.0,0.5812499999999999,FALSE
Math,40,mutant-4,8.0,0.0,0.0,1.0,0.8958333333333334,0.5676855895196506,8.0,0.508551673944687,FALSE
Math,42,mutant-1,1.0,0.0,1.0,0.6666666666666666,1.0,1.0,2.0,0.6666666666666666,FALSE
Math,49,mutant-1,4.0,0.1296117202215108,1.0,0.3333333333333333,0.7105263157894737,0.4878048780487805,5.129611720221511,0.11553273427471115,FALSE
Math,49,mutant-10,11.0,0.0,0.0,1.0,0.18518518518518517,0.0,11.0,0.0,FALSE
Math,49,mutant-11,3.0,0.28275827259001607,8.0,0.0,0.13095238095238096,0.05970149253731343,11.282758272590016,0.0,FALSE
Math,49,mutant-2,1.0,0.0,1.0,0.3333333333333333,1.0,0.8571428571428571,2.0,0.2857142857142857,FALSE
Math,49,mutant-3,10.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,FALSE
Math,49,mutant-4,7.0,0.5285954792089682,1.0,0.5,0.3448275862068966,0.0,8.528595479208969,0.0,FALSE
Math,49,mutant-5,9.0,0.49748109237039395,2.0,0.3333333333333333,0.21739130434782608,0.0,11.497481092370395,0.0,FALSE
Math,49,mutant-6,4.0,0.4,2.0,0.0,0.5555555555555556,0.32,6.4,0.0,FALSE
Math,49,mutant-7,2.0,0.10185376097950138,1.0,0.3333333333333333,1.0,0.75,3.1018537609795014,0.25,FALSE
Math,49,mutant-8,6.0,0.0,0.0,1.0,0.5405405405405406,0.631578947368421,6.0,0.3413940256045519,FALSE
Math,49,mutant-9,5.0,0.0,0.0,1.0,0.25925925925925924,0.08695652173913043,5.0,0.02254428341384863,FALSE
Math,5,mutant-1,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,TRUE
Math,5,mutant-2,4.0,0.4836022205056778,1.0,0.0,1.0,0.25,5.483602220505678,0.0,FALSE
Math,5,mutant-3,2.0,0.12168993434632014,1.0,0.5,1.0,0.8571428571428571,3.1216899343463202,0.42857142857142855,FALSE
Math,50,mutant-1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,50,mutant-10,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,FALSE
Math,50,mutant-11,31.0,0.6310856192714269,16.0,0.0,0.18980169971671387,0.0,47.63108561927143,0.0,TRUE
Math,50,mutant-12,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,50,mutant-13,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,FALSE
Math,50,mutant-14,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,50,mutant-15,1.0,0.0,1.0,0.5,1.0,0.7848101265822784,2.0,0.3924050632911392,FALSE
Math,50,mutant-16,4.0,0.2440710539815456,2.0,0.25,0.6590909090909091,0.5886075949367089,6.244071053981545,0.09698647871116226,FALSE
Math,50,mutant-17,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,50,mutant-18,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,50,mutant-19,2.0,0.0,2.0,0.6923076923076923,1.0,0.9772727272727273,4.0,0.6765734265734266,FALSE
Math,50,mutant-2,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,50,mutant-20,1.0,0.0,0.0,1.0,1.0,0.9759036144578314,1.0,0.9759036144578314,FALSE
Math,50,mutant-21,1.0,0.0,1.0,0.3333333333333333,1.0,0.9759036144578314,2.0,0.3253012048192771,FALSE
Math,50,mutant-22,2.0,0.0,0.0,1.0,1.0,0.9772727272727273,2.0,0.9772727272727273,FALSE
Math,50,mutant-23,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,FALSE
Math,50,mutant-24,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
Math,50,mutant-25,1.0,0.0,1.0,0.5,1.0,0.810126582278481,2.0,0.4050632911392405,FALSE
Math,50,mutant-26,1.0,0.0,1.0,0.5,1.0,0.810126582278481,2.0,0.4050632911392405,FALSE
Math,50,mutant-27,1.0,0.0,1.0,0.5,1.0,1.0,2.0,0.5,FALSE
Math,50,mutant-28,1.0,0.0,1.0,0.5,1.0,0.810126582278481,2.0,0.4050632911392405,FALSE
Math,50,mutant-29,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,50,mutant-3,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,50,mutant-30,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
Math,50,mutant-31,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
Math,50,mutant-32,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
Math,50,mutant-33,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
Math,50,mutant-34,1.0,0.0,1.0,0.3333333333333333,1.0,0.9759036144578314,2.0,0.3253012048192771,FALSE
Math,50,mutant-35,1.0,0.0,0.0,1.0,1.0,0.9759036144578314,1.0,0.9759036144578314,FALSE
Math,50,mutant-36,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
Math,50,mutant-37,12.0,0.13865356139355223,8.0,0.23076923076923078,0.42990654205607476,0.5241477272727273,20.138653561393554,0.05200027775962356,FALSE
Math,50,mutant-38,5.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,FALSE
Math,50,mutant-39,1.0,0.0,0.0,1.0,1.0,0.9759036144578314,1.0,0.9759036144578314,FALSE
Math,50,mutant-4,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,50,mutant-40,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,50,mutant-5,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,50,mutant-6,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,50,mutant-7,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,50,mutant-8,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,50,mutant-9,2.0,0.0,2.0,0.6923076923076923,1.0,1.0,4.0,0.6923076923076923,FALSE
Math,57,mutant-1,7.0,0.0,0.0,1.0,0.8846153846153846,0.6882352941176471,7.0,0.6088235294117647,FALSE
Math,58,mutant-1,1.0,0.0,1.0,0.6,1.0,1.0,2.0,0.6,FALSE
Math,58,mutant-2,14.0,0.20399705424215142,4.0,0.4,0.46296296296296297,0.6851851851851852,18.20399705424215,0.12688614540466395,TRUE
Math,59,mutant-1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,TRUE
Math,6,mutant-1,13.0,0.4336478860451459,3.0,0.4,0.225,0.08333333333333333,16.433647886045144,0.007500000000000001,FALSE
Math,6,mutant-2,4.0,0.17537887487646797,1.0,0.3333333333333333,0.6428571428571429,1.0,5.175378874876468,0.2142857142857143,FALSE
Math,60,mutant-1,4.0,0.0,1.0,0.3333333333333333,1.0,1.0,5.0,0.3333333333333333,FALSE
Math,62,mutant-1,9.0,0.03378090694017122,1.0,0.8666666666666667,0.8818181818181818,0.5925925925925926,10.033780906940171,0.45288439955106624,FALSE
Math,62,mutant-2,9.0,0.03378090694017122,1.0,0.8666666666666667,0.8818181818181818,0.5925925925925926,10.033780906940171,0.45288439955106624,FALSE
Math,62,mutant-3,13.0,0.0519213603405293,3.0,0.7857142857142857,0.8274111675126904,0.6876712328767123,16.05192136034053,0.4470611024466806,FALSE
Math,63,mutant-11,11.0,0.09930535577871791,8.0,0.5,0.46153846153846156,0.5777777777777777,19.099305355778718,0.13333333333333333,FALSE
Math,63,mutant-12,9.0,0.0534204950609517,0.0,1.0,0.43373493975903615,0.6153846153846154,9.053420495060951,0.2669138090824838,FALSE
Math,63,mutant-14,6.0,0.004062505254731841,1.0,0.7777777777777778,1.0,1.0,7.004062505254732,0.7777777777777778,FALSE
Math,63,mutant-15,6.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,FALSE
Math,63,mutant-16,6.0,0.004062505254731841,1.0,0.7777777777777778,1.0,1.0,7.004062505254732,0.7777777777777778,FALSE
Math,63,mutant-17,6.0,0.004062505254731841,1.0,0.7777777777777778,1.0,1.0,7.004062505254732,0.7777777777777778,FALSE
Math,63,mutant-18,5.0,0.045947214109065215,3.0,0.5555555555555556,0.6521739130434783,0.6896551724137931,8.045947214109066,0.24987506246876565,FALSE
Math,63,mutant-20,6.0,0.004062505254731841,1.0,0.7777777777777778,1.0,1.0,7.004062505254732,0.7777777777777778,FALSE
Math,63,mutant-21,6.0,0.004062505254731841,1.0,0.7777777777777778,1.0,1.0,7.004062505254732,0.7777777777777778,FALSE
Math,63,mutant-22,6.0,0.004062505254731841,1.0,0.7777777777777778,1.0,1.0,7.004062505254732,0.7777777777777778,FALSE
