patch_id,file_name,sum_entropy,mean_entropy
Dcorrect_Jaid_Math_50_1,buggy1,59.06907459581744,3.4746514468127905
Dcorrect_Jaid_Math_5_2,buggy1,89.0124059617965,2.697345635205955
Dcorrect_Jaid_Math_5_3,buggy1,101.66285404306925,3.080692546759674
Dcorrect_Jaid_Math_5_1,buggy1,87.62413126786353,2.920804375595451
Dcorrect_Jaid_Math_32_1,buggy1,124.58306981614054,5.66286680982457
Dcorrect_Jaid_Math_53_2,buggy1,65.44921295802581,2.8456179546967744
Dcorrect_Jaid_Math_53_1,buggy1,62.503959168174624,2.7175634420945487
Dcorrect_Jaid_Math_82_1,buggy1,23.68580626471339,1.2466213823533363
Dcorrect_Jaid_Math_85_1,buggy1,20.5790185559645,1.7149182129970415
Dcorrect_Jaid_Math_80_2,buggy1,35.48005794441971,3.548005794441971
Dcorrect_Jaid_Math_80_1,buggy1,80.68102766597247,2.602613795676531
Dcorrect_Jaid_Lang_45_1,buggy1,73.89368050987562,2.4631226836625206
Dcorrect_Jaid_Lang_51_2,buggy1,75.61549963358149,3.02461998534326
Dcorrect_Jaid_Lang_51_4,buggy1,73.32466976345796,2.528436888395102
Dcorrect_Jaid_Lang_51_3,buggy1,63.07510416338739,2.3361149690143477
Dcorrect_Jaid_Lang_51_6,buggy1,73.66486178374849,2.540167647715465
Dcorrect_Jaid_Lang_51_1,buggy1,55.404404698281176,2.6383049856324368
Dcorrect_Jaid_Lang_51_5,buggy1,61.744587128239765,2.2868365603051766
Dcorrect_Jaid_Lang_33_2,buggy1,86.20988310357947,1.5394621982782049
Dcorrect_Jaid_Lang_33_1,buggy1,75.10611333789943,2.6823611906392655
Dcorrect_Jaid_Lang_55_1,buggy1,61.814256613161525,3.8633910383225953
Dcorrect_Jaid_Lang_38_2,buggy1,28.647608746326956,4.774601457721159
Dcorrect_Jaid_Lang_38_4,buggy1,61.341828202405665,3.067091410120283
Dcorrect_Jaid_Lang_38_3,buggy1,65.01118790874932,3.0957708527975867
Dcorrect_Jaid_Lang_38_1,buggy1,31.16760535646298,4.4525150509232825
Dcorrect_Jaid_Closure_18_1,buggy1,64.78057391004971,4.318704927336648
Dcorrect_Jaid_Closure_62_1,buggy1,63.97412923810946,1.9991915386909207
Dcorrect_Jaid_Closure_70_1,buggy1,25.181750950203533,2.2892500863821392
Dcorrect_Jaid_Closure_126_1,buggy1,22.4756800982939,3.745946683048983
Dcorrect_Jaid_Closure_73_1,buggy1,37.76429295064272,2.0980162750357065
Dcorrect_Jaid_Closure_33_1,buggy1,131.09432163242948,4.681940058301053
Dcorrect_Jaid_Closure_63_1,buggy1,28.475208764356392,1.6750122802562584
Dcorrect_Jaid_Closure_40_1,buggy1,18.004198008623312,1.3849383083556395
Dcorrect_Jaid_Closure_31_1,buggy1,46.92034301061718,11.730085752654295
Dcorrect_Jaid_Chart_26_2,buggy1,56.36035851202379,2.0874206856305104
Dcorrect_Jaid_Chart_26_3,buggy1,70.12393290238172,3.6907333106516695
Dcorrect_Jaid_Chart_26_1,buggy1,52.27024658727387,2.0103940995105334
Dcorrect_Jaid_Chart_1_1,buggy1,20.216335971328462,2.5270419964160578
Dcorrect_Jaid_Chart_9_2,buggy1,65.8067940749242,2.9912179124965546
Dcorrect_Jaid_Chart_9_1,buggy1,55.844139396908076,2.7922069698454037
Dcorrect_Jaid_Chart_24_2,buggy1,61.95395706970871,2.8160889577140322
Dcorrect_Jaid_Chart_24_1,buggy1,27.122111937760412,5.424422387552083
Dcorrect_SOFix_Math_50_1,buggy1,7.02365604691008,7.02365604691008
Dcorrect_SOFix_Math_57_1,buggy1,20.305060150211972,3.3841766917019953
Dcorrect_SOFix_Math_70_1,buggy1,40.52204197881034,3.3768368315675286
Dcorrect_SOFix_Math_75_1,buggy1,15.936180788835598,1.4487437080759635
Dcorrect_SOFix_Math_59_1,buggy1,21.465491660821044,0.7950182096600387
Dcorrect_SOFix_Math_5_1,buggy1,20.423279672987757,5.105819918246939
Dcorrect_SOFix_Math_33_1,buggy1,51.64498985044139,2.5822494925220694
Dcorrect_SOFix_Math_82_1,buggy1,23.68580626471339,1.2466213823533363
Dcorrect_SOFix_Math_58_1,buggy1,28.161796546895992,4.693632757815998
Dcorrect_SOFix_Math_85_1,buggy1,23.679175293681848,1.8214750225909113
Dcorrect_SOFix_Math_80_1,buggy1,35.748441641636425,3.249858331057857
Dcorrect_SOFix_Math_34_1,buggy1,22.06200461443509,2.4513338460483434
Dcorrect_SOFix_Lang_51_1,buggy1,16.747355694677957,4.186838923669489
Dcorrect_SOFix_Lang_6_1,buggy1,27.12497098933394,1.5069428327407743
Dcorrect_SOFix_Lang_59_1,buggy1,21.80196275999984,1.5572830542857028
Dcorrect_SOFix_Time_19_1,buggy1,25.58966549163198,2.326333226511998
Dcorrect_SOFix_Chart_26_1,buggy1,16.67523526894138,2.0844044086176723
Dcorrect_SOFix_Chart_4_1,buggy1,17.20030299187877,2.1500378739848465
Dcorrect_SOFix_Chart_1_1,buggy1,20.216335971328462,2.5270419964160578
Dcorrect_SOFix_Chart_24_1,buggy1,45.94044780158906,1.9141853250662109
Dcorrect_SOFix_Chart_11_1,buggy1,15.792744613169202,1.0528496408779469
Dcorrect_SketchFix_Math_50_1,buggy1,7.02365604691008,7.02365604691008
Dcorrect_SketchFix_Math_70_1,buggy1,18.128353141025414,1.8128353141025415
Dcorrect_SketchFix_Math_59_1,buggy1,21.465491660821044,0.7950182096600387
Dcorrect_SketchFix_Math_5_1,buggy1,20.423279672987757,5.105819918246939
