project,id,mutant,toolASTDifferencing,toolCosine,toolStringDistance,toolVariable,toolSyntax,toolSemantic,s3tool,capgentool,correct
Compress,4,mutant-5,3.0,0.0028235350472620713,1.0,0.8,0.7433628318584071,0.8,4.002823535047262,0.47575221238938065,FALSE
Compress,4,mutant-6,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,FALSE
Compress,4,mutant-7,10.0,0.21269146991180332,1.0,0.75,0.49557522123893805,0.3235294117647059,11.212691469911803,0.12024986985944822,FALSE
Compress,4,mutant-8,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,FALSE
Compress,4,mutant-9,10.0,0.0,0.0,1.0,0.5406698564593302,0.3684210526315789,10.0,0.19919415764291112,FALSE
Compress,45,mutant-1,1.0,0.0,1.0,0.5,1.0,0.88,2.0,0.44,FALSE
Compress,45,mutant-2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Compress,45,mutant-3,1.0,0.0,1.0,0.5,1.0,1.0,2.0,0.5,FALSE
Compress,45,mutant-4,6.0,0.5783629786442162,3.0,0.0,0.18421052631578946,0.015748031496062992,9.578362978644217,0.0,FALSE
Csv,11,mutant-1,2.0,0.0,0.0,1.0,0.8181818181818182,1.0,2.0,0.8181818181818182,FALSE
Csv,11,mutant-10,2.0,0.05131670194948612,1.0,0.8333333333333334,0.8181818181818182,1.0,3.051316701949486,0.6818181818181819,FALSE
Csv,11,mutant-11,2.0,0.04120188729161278,1.0,0.8333333333333334,0.7894736842105263,0.8333333333333334,3.0412018872916127,0.5482456140350878,FALSE
Csv,11,mutant-12,2.0,0.05131670194948612,1.0,0.8333333333333334,0.8181818181818182,1.0,3.051316701949486,0.6818181818181819,FALSE
Csv,11,mutant-13,2.0,0.0,0.0,1.0,0.8181818181818182,1.0,2.0,0.8181818181818182,FALSE
Csv,11,mutant-14,2.0,0.05131670194948612,1.0,0.8333333333333334,0.8181818181818182,1.0,3.051316701949486,0.6818181818181819,FALSE
Csv,11,mutant-15,9.0,0.0733809348606379,15.0,0.391304347826087,1.0,0.4513491414554375,24.073380934860637,0.17661488143908424,FALSE
Csv,11,mutant-16,7.0,0.09933106696362282,15.0,0.391304347826087,0.37435008665511266,0.43918367346938775,22.09933106696362,0.06433373982552106,FALSE
Csv,11,mutant-2,2.0,0.05131670194948612,1.0,0.8333333333333334,0.8181818181818182,1.0,3.051316701949486,0.6818181818181819,FALSE
Csv,11,mutant-3,3.0,0.03847605235917684,1.0,0.7142857142857143,0.75,0.0,4.038476052359177,0.0,FALSE
