bug	s3-tool-buggy	capgen-tool
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Closure.63	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.20	4.0	0.42857142857142855
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.9	12.139986836432469	0.06400742115027828
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.11	2.0	0.6021505376344085
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.19	30.072618578288843	0.2029596458464399
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.24	2.0	0.5
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.4	13.066834558920895	0.4534412955465587
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.57	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.11	2.0	0.6666666666666666
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.89	19.059258501998997	0.011197014129565449
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.75	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.65	4.008130216199629	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.79	2.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.70	2.005063323673818	0.4588235294117647
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.5	2.0	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.59	2.0	0.5494505494505495
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.57	4.014472543347425	0.38235294117647056
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.33	17.14202788364068	0.02821869488536155
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.7	15.14166749224001	0.08866928256551858
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.10	30.0	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.47	14.193440867382558	0.049354154617312504
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Chart.11.1	2.0	0.6021505376344085
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Chart.1.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Chart.26.1	7.0	0.4588045321495307
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Chart.24.1	4.0037245635888015	0.5
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Chart.4.1	10.128812878059644	0.20689655172413793
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.59.1	2.0	0.7777777777777778
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.50.1	48.0	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.57.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.58.1	0.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.34.1	4.017533389009463	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.33.1	4.0	0.5
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.80.1	7.0476467335142665	0.9090909090909091
