patch_id,file_name,sum_entropy,mean_entropy
prapr_Compress_45_mutant-4,TarUtils,16.506476946600042,2.751079491100007
prapr_Compress_45_mutant-2,TarUtils,21.660267718220158,2.1660267718220156
prapr_Compress_45_mutant-1,TarUtils,53.184672882111855,4.4320560735093215
prapr_Compress_45_mutant-3,TarUtils,30.170079692033465,3.0170079692033465
prapr_Compress_18_mutant-34,TarArchiveEntry,26.234915294698627,4.372485882449771
prapr_Compress_18_mutant-19,TarArchiveOutputStream,65.38093956890994,5.448411630742495
prapr_Compress_18_mutant-14,TarArchiveEntry,11.649436080482342,1.9415726800803903
prapr_Compress_18_mutant-24,TarArchiveEntry,27.797195831624947,2.138245833201919
prapr_Compress_18_mutant-36,TarArchiveEntry,26.087188192734484,2.3715625629758623
prapr_Compress_18_mutant-4,TarArchiveEntry,38.036193723978734,3.8036193723978733
prapr_Compress_18_mutant-15,TarArchiveOutputStream,98.83969678806405,4.297378121220176
prapr_Compress_18_mutant-2,TarArchiveOutputStream,67.45520991134738,4.215950619459211
prapr_Compress_18_mutant-12,TarArchiveEntry,45.75171542958866,3.8126429524657213
prapr_Compress_18_mutant-16,TarArchiveOutputStream,73.77699003191952,3.688849501595976
prapr_Compress_18_mutant-6,TarArchiveOutputStream,25.150601475257176,2.2864183159324707
prapr_Compress_18_mutant-1,TarArchiveOutputStream,173.4371002513908,6.937484010055632
prapr_Compress_18_mutant-25,TarArchiveEntry,50.158149424019534,4.179845785334961
prapr_Compress_18_mutant-31,TarArchiveOutputStream,19.310477982735645,2.4138097478419556
prapr_Compress_18_mutant-13,TarArchiveOutputStream,98.618307110248,4.287752483054261
prapr_Compress_18_mutant-17,TarArchiveOutputStream,79.25083138666446,4.953176961666529
prapr_Compress_18_mutant-10,TarArchiveEntry,17.591787854612104,3.518357570922421
prapr_Compress_18_mutant-23,TarArchiveOutputStream,88.59232769916756,5.537020481197972
prapr_Compress_18_mutant-7,TarArchiveOutputStream,72.0199267050863,3.2736330320493776
prapr_Compress_18_mutant-5,TarArchiveOutputStream,79.52347940191854,4.185446284311502
prapr_Compress_18_mutant-18,TarArchiveOutputStream,94.55683235337195,4.976675387019576
prapr_Compress_18_mutant-28,TarArchiveOutputStream,57.23147894416959,5.202861722197235
prapr_Compress_18_mutant-29,TarArchiveOutputStream,25.243590968048572,4.207265161341429
prapr_Compress_18_mutant-21,TarArchiveOutputStream,198.74447514646468,6.853257763671196
prapr_Compress_18_mutant-35,TarArchiveOutputStream,29.00787528850234,1.70634560520602
prapr_Compress_18_mutant-8,TarArchiveOutputStream,218.52661349479143,7.8045219105282655
prapr_Compress_18_mutant-26,TarArchiveOutputStream,34.920979251731076,2.054175250101828
prapr_Compress_18_mutant-33,TarArchiveOutputStream,21.289605243803866,5.3224013109509665
prapr_Compress_18_mutant-22,TarArchiveEntry,11.649436080482342,1.9415726800803903
prapr_Compress_18_mutant-20,TarArchiveOutputStream,23.476349370128467,3.912724895021411
prapr_Compress_18_mutant-27,TarArchiveEntry,17.63995784370001,4.4099894609250025
prapr_Compress_18_mutant-32,TarArchiveOutputStream,41.63311971277442,4.6259021903082695
prapr_Compress_18_mutant-9,TarArchiveOutputStream,85.61323824106464,6.115231302933188
prapr_Compress_18_mutant-3,TarArchiveEntry,31.132619988621116,2.830238180783738
prapr_Compress_18_mutant-11,TarArchiveOutputStream,46.87629470638501,4.687629470638501
prapr_Compress_18_mutant-30,TarArchiveOutputStream,23.476349370128467,3.912724895021411
prapr_Compress_14_mutant-2,TarUtils,26.950535617261977,2.4500486924783615
prapr_Compress_14_mutant-1,TarUtils,30.56042981367151,2.7782208921519556
prapr_Compress_27_mutant-4,TarUtils,49.14650399511788,4.914650399511788
prapr_Compress_27_mutant-2,TarUtils,12.68601501396427,2.1143358356607114
prapr_Compress_27_mutant-1,TarUtils,27.828035345596764,3.4785044181995954
prapr_Compress_27_mutant-5,TarUtils,23.59067092249831,2.948833865312289
prapr_Compress_27_mutant-3,TarUtils,52.62562855787508,5.262562855787508
prapr_Compress_19_mutant-1,Zip64ExtendedInformationExtraField,28.67422247432715,4.7790370790545245
prapr_Compress_4_mutant-4,ZipArchiveOutputStream,20.497226423142415,2.562153302892802
prapr_Compress_4_mutant-2,ZipArchiveOutputStream,23.95679558106321,4.791359116212642
prapr_Compress_4_mutant-6,ZipArchiveOutputStream,45.95036582945553,6.564337975636504
prapr_Compress_4_mutant-1,ZipArchiveOutputStream,15.208427593660609,5.069475864553536
prapr_Compress_4_mutant-7,ZipArchiveOutputStream,52.44198100967511,3.4961320673116743
prapr_Compress_4_mutant-5,ZipArchiveOutputStream,41.91823720456392,3.8107488367785383
prapr_Compress_4_mutant-8,ZipArchiveOutputStream,21.886965189406872,5.471741297351718
prapr_Compress_4_mutant-9,ZipArchiveOutputStream,75.91179844904171,2.4487676919045716
prapr_Compress_4_mutant-3,ZipArchiveOutputStream,12.460303484739507,12.460303484739507
prapr_Compress_35_mutant-2,TarArchiveInputStream,6.968789938069,0.3871549965593889
prapr_Compress_35_mutant-1,TarArchiveInputStream,61.34764661901776,1.2028950317454463
prapr_Compress_34_mutant-1,X7875_NewUnix,12.505759833338269,1.5632199791672836
prapr_Compress_38_mutant-2,TarArchiveEntry,17.454480914749006,4.363620228687251
prapr_Compress_38_mutant-1,TarArchiveEntry,17.55290652053301,3.5105813041066023
prapr_Compress_38_mutant-3,TarArchiveEntry,26.733149956768216,4.455524992794703
prapr_Compress_16_mutant-39,TarArchiveEntry,97.73003400366947,2.443250850091737
