Math,64,mutant-3,correct
Math,73,mutant-1,correct
Math,73,mutant-5,correct
Math,73,mutant-16,correct
Math,73,mutant-20,correct
Math,32,mutant-6,correct
Math,32,mutant-1,correct
Math,32,mutant-5,correct
Math,32,mutant-8,overfitting
Math,32,mutant-3,correct
Math,32,mutant-7,correct
Math,7,mutant-1,correct
Math,8,mutant-6,correct
Math,8,mutant-1,overfitting
Math,8,mutant-5,correct
Math,8,mutant-8,overfitting
Math,8,mutant-4,correct
Math,8,mutant-3,correct
Math,8,mutant-7,correct
Math,8,mutant-2,correct
Math,85,mutant-1,correct
Math,85,mutant-4,correct
Math,85,mutant-3,correct
Math,85,mutant-2,correct
Math,42,mutant-1,correct
Math,63,mutant-15,correct
Math,63,mutant-12,correct
Math,63,mutant-22,correct
Math,63,mutant-16,correct
Math,63,mutant-17,correct
Math,63,mutant-11,correct
Math,63,mutant-9,correct
Math,63,mutant-3,correct
Math,63,mutant-20,correct
Math,63,mutant-18,correct
Math,63,mutant-21,correct
Math,63,mutant-14,correct
Math,63,mutant-23,correct
Math,50,mutant-10,correct
Math,50,mutant-26,correct
Math,50,mutant-6,correct
Math,50,mutant-29,correct
Math,50,mutant-1,correct
Math,50,mutant-30,correct
Math,50,mutant-27,correct
Math,50,mutant-5,correct
Math,50,mutant-38,correct
Math,50,mutant-15,correct
Math,50,mutant-12,correct
Math,50,mutant-22,correct
Math,50,mutant-16,correct
Math,50,mutant-8,correct
Math,50,mutant-4,correct
Math,50,mutant-34,correct
Math,50,mutant-17,correct
Math,50,mutant-11,correct
Math,50,mutant-9,correct
Math,50,mutant-3,correct
Math,50,mutant-20,correct
Math,50,mutant-18,correct
Math,50,mutant-21,correct
Math,50,mutant-36,correct
Math,50,mutant-24,correct
Math,50,mutant-37,correct
Math,50,mutant-35,correct
Math,50,mutant-7,correct
Math,50,mutant-25,correct
Math,50,mutant-14,correct
Math,50,mutant-23,correct
Math,50,mutant-19,correct
Math,50,mutant-2,correct
Math,50,mutant-28,correct
Math,50,mutant-39,correct
Math,50,mutant-32,correct
Math,50,mutant-31,correct
Math,50,mutant-33,correct
Math,50,mutant-13,correct
Math,50,mutant-40,correct
Math,28,mutant-10,correct
Math,28,mutant-26,correct
Math,28,mutant-6,correct
Math,28,mutant-29,correct
Math,28,mutant-1,correct
Math,28,mutant-30,correct
Math,28,mutant-27,correct
Math,28,mutant-5,correct
Math,28,mutant-38,correct
Math,28,mutant-15,correct
Math,28,mutant-12,correct
Math,28,mutant-22,correct
Math,28,mutant-16,correct
Math,28,mutant-8,correct
Math,28,mutant-4,correct
Math,28,mutant-34,correct
Math,28,mutant-17,correct
Math,28,mutant-41,correct
Math,28,mutant-11,correct
Math,28,mutant-9,correct
Math,28,mutant-3,correct
Math,28,mutant-20,correct
